cl_name	gene_callers_id	contig	gene_x_contig	cl_size	category	pfam	is.HQ	is.LS	lowest_rank	lowest_level	niche_breadth_sign	is.singleton	ground_coverage
40423550	0	Day17a_QCcontig1	1051	1	KWP	NA	FALSE	FALSE	NA	NA	NA	TRUE	NA
32886021	1	Day17a_QCcontig1	1051	3	K	Glycos_transf|Glyco_transf	FALSE	FALSE	NA	NA	NA	FALSE	0.000257075416579027
16622933	2	Day17a_QCcontig1	1051	3606	K	Glycos_transf_1|Glyco_transf_4	FALSE	FALSE	NA	NA	Broad	FALSE	0.0153310430250765
23805144	3	Day17a_QCcontig1	1051	5228	K	NAD_binding_11|NAD_binding_2	FALSE	FALSE	NA	NA	Broad	FALSE	0.035242702563743
28715327	4	Day17a_QCcontig1	1051	4071	GU	NA	FALSE	FALSE	NA	NA	Broad	FALSE	0.0032017574610297
5036476	5	Day17a_QCcontig1	1051	2870	K	MarR	FALSE	FALSE	NA	NA	Broad	FALSE	0.00754866905045689
29404343	6	Day17a_QCcontig1	1051	41789	K	ACP_syn_III_C|ACP_syn_III	FALSE	FALSE	NA	NA	Broad	FALSE	0.133725957605927
7817317	7	Day17a_QCcontig1	1051	1154	K	PP-binding	FALSE	FALSE	NA	NA	NA	FALSE	0.00352894435485756
10646581	8	Day17a_QCcontig1	1051	24783	K	NMO	TRUE	FALSE	NA	NA	Broad	FALSE	0.0718876346724625
39876876	9	Day17a_QCcontig1	1051	52	K	Acyl_transf_1	FALSE	FALSE	NA	NA	NA	FALSE	0.00378601977143658
24248512	10	Day17a_QCcontig1	1051	168832	K	adh_short_C2|adh_short	FALSE	FALSE	NA	NA	Broad	FALSE	0.212554628526023
2984520	11	Day17a_QCcontig1	1051	39165	K	Ketoacyl-synt_C|ketoacyl-synt	FALSE	FALSE	NA	NA	Broad	FALSE	0.128701301736428
24513429	12	Day17a_QCcontig1	1051	11033	K	Biotin_lipoyl|HGTP_anticodon	FALSE	FALSE	NA	NA	Broad	FALSE	0.0590806048283437
36352952	13	Day17a_QCcontig1	1051	4	K	FabA	FALSE	FALSE	NA	NA	NA	FALSE	0.0018450184501845
27226976	14	Day17a_QCcontig1	1051	34098	K	Biotin_carb_C|Biotin_carb_N|CPSase_L_D2	TRUE	FALSE	NA	NA	Broad	FALSE	0.143214377526934
20851741	15	Day17a_QCcontig1	1051	5696	K	Carboxyl_trans	FALSE	FALSE	NA	NA	Broad	FALSE	0.0473719881277899
13087212	16	Day17a_QCcontig1	1051	5830	K	ACCA|Carboxyl_trans	FALSE	FALSE	NA	NA	Broad	FALSE	0.0227628596134521
15436028	17	Day17a_QCcontig1	1051	989	DISC	NA	FALSE	FALSE	NA	NA	NA	FALSE	NA
